,phone_names,Links
12,"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-plus-5g-stealth-black-128-gb/p/itmd029928dc2e7e?pid=MOBGCQRYPFFZE9GA&lid=LSTMOBGCQRYPFFZE9GASGHUG3&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGCQRYPFFZE9GA.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
13,"Xiaomi 11i 5G (Stealth Black, 128 GB)",https://www.flipkart.com/xiaomi-11i-5g-stealth-black-128-gb/p/itmf5300d828d19f?pid=MOBG9QXPQ2F8KGQD&lid=LSTMOBG9QXPQ2F8KGQDBEHA2F&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBG9QXPQ2F8KGQD.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
14,"Redmi 9A Sport (Metallic Blue, 32 GB)",https://www.flipkart.com/redmi-9a-sport-metallic-blue-32-gb/p/itm53bc6ebfe147b?pid=MOBG7H8GFGZPYUFH&lid=LSTMOBG7H8GFGZPYUFHFBNMT5&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBG7H8GFGZPYUFH.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
15,"REDMI 10A (Sea Blue, 64 GB)",https://www.flipkart.com/redmi-10a-sea-blue-64-gb/p/itm755830dd54ae1?pid=MOBGDRGY2TNHJQTW&lid=LSTMOBGDRGY2TNHJQTWS8DINS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGDRGY2TNHJQTW.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
16,"REDMI 10A (Slate grey, 64 GB)",https://www.flipkart.com/redmi-10a-slate-grey-64-gb/p/itm755830dd54ae1?pid=MOBGHXQY2BT4UFZG&lid=LSTMOBGHXQY2BT4UFZGLCCXMD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGHXQY2BT4UFZG.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
17,"Redmi 8 (Ruby Red, 64 GB)",https://www.flipkart.com/redmi-8-ruby-red-64-gb/p/itmf96d708d88b1b?pid=MOBFKPYDCVSCZBYR&lid=LSTMOBFKPYDCVSCZBYRSUFG5C&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBFKPYDCVSCZBYR.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
18,"Redmi Note 11 PRO Plus 5G (Mirage Blue, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-plus-5g-mirage-blue-128-gb/p/itmd029928dc2e7e?pid=MOBGHXQYHGUWNEJF&lid=LSTMOBGHXQYHGUWNEJFG2NRPB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGHXQYHGUWNEJF.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
19,"REDMI Note 11 Pro (Phantom White, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-phantom-white-128-gb/p/itme7022ee103b26?pid=MOBGCVHXV2UHHCDG&lid=LSTMOBGCVHXV2UHHCDGYULHRN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGCVHXV2UHHCDG.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
20,"REDMI Note 11 Pro (Star Blue, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-star-blue-128-gb/p/itme7022ee103b26?pid=MOBGHXQYARHZJPRC&lid=LSTMOBGHXQYARHZJPRCAWUL0U&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGHXQYARHZJPRC.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
21,"REDMI Note 11 Pro (Stealth Black, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-stealth-black-128-gb/p/itme7022ee103b26?pid=MOBGCVG4ZAFHHQWV&lid=LSTMOBGCVG4ZAFHHQWVDDSV9P&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGCVG4ZAFHHQWV.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
22,"REDMI Note 11 Pro (Star blue, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-star-blue-128-gb/p/itme7022ee103b26?pid=MOBGCVGRYCGZMKVF&lid=LSTMOBGCVGRYCGZMKVFCYNDDO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGCVGRYCGZMKVF.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
23,"Redmi 9A Sport (Carbon Black, 32 GB)",https://www.flipkart.com/redmi-9a-sport-carbon-black-32-gb/p/itm53bc6ebfe147b?pid=MOBG7CJMHFQJFCX3&lid=LSTMOBG7CJMHFQJFCX3ELP9V7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBG7CJMHFQJFCX3.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
